sku,vendor_name,vendor_code,collection,fabric,colour_code,seq,title,description,image_url,price,cost,qty,shopify_status,product_type,handle
HDR-VINT-SBS-BLK-598,HDR,HDR,VINT,SBS,BLK,598.0,YUTHIKA ( ಯುತಿಕಾ ),A stunning black semi Bangalore silk saree with a pink and gold zari border. The saree has a pink striped gold zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC04007.jpg,3199.00,1200.00,0,draft,SAREES,21-3
HDR-VINT-SBS-GRN-597,HDR,HDR,VINT,SBS,GRN,597.0,AMBUJA ( അംബുജ ),A stunning light olive green semi Bangalore silk saree with a gold zari border. The saree has a pink striped gold zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC03948.jpg,3499.00,1200.00,1,draft,SAREES,17-3
HDR-VINT-SBS-GRN-596,HDR,HDR,VINT,SBS,GRN,596.0,NIRAJA ( नीरजा ),A beautiful olive green semi Bangalore silk saree with a gold zari border. The saree has a pink striped zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC03938.jpg,3499.00,1200.00,0,draft,SAREES,16-3
HDR-VINT-SBS-GRN-595,HDR,HDR,VINT,SBS,GRN,595.0,ASYAPATRA ( आस्यपत्त्र ),A stunning green semi Bangalore silk saree with a maroon border and a double rudraksham gold zari border. The saree has a bmaroon striped zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC03916.jpg,3499.00,1200.00,0,draft,SAREES,15-3
HDR-VINT-SBS-GRN-594,HDR,HDR,VINT,SBS,GRN,594.0,VAARIJA ( வாரிஜா ),"A stunning bottle green semi Bangalore silk saree with a chequered pink and orange border and a temple border. The saree has a dark magenta striped pallu. Details: Length 6.2 mts, width - 46 inches Fabric: Semi Bangalore silk Blouse Piece: Yes( magenta contrast blouse piece - same color as the pallu ) Shipping: We ship domestic orders within 3-5 business days from the date of order & International orders within 5-8 business days from the date of order Wash Care : Dry Clean only Medium Iron Disclaimer: Color may vary slightly from the image due to the screen brightness",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC03893.jpg,3199.00,1200.00,0,draft,SAREES,14-3
HDR-VINT-SBS-RED-593,HDR,HDR,VINT,SBS,RED,593.0,UTPALINI ( உட்பாலினி ),A stunning orangish red semi Bangalore silk saree with a gold zari border. The saree has a striped zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC03887.jpg,3199.00,1200.00,1,draft,SAREES,13-3
HDR-VINT-SBS-YLW-592,HDR,HDR,VINT,SBS,YLW,592.0,JALAJA ( జలజ ),A stunning yellow semi Bangalore silk saree with a chequered pink and green border and a temple border. The saree has a dark pinkish red striped pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC03869.jpg,3199.00,1200.00,0,draft,SAREES,12-3
HDR-VINT-SBS-MST-591,HDR,HDR,VINT,SBS,MST,591.0,KUMUDA ( కుముద),A beautiful dark orangish mustard semi Bangalore silk saree with a gold zari border. The saree has a red striped gold zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC03865.jpg,3499.00,1200.00,0,draft,SAREES,11-3
HDR-VINT-SBS-YLW-590,HDR,HDR,VINT,SBS,YLW,590.0,RATNAGANDHA ( रत्नगंधा ),"A stunning yellow semi Bangalore silk saree with a pink border and a temple gold zari border. The saree has a pink striped zari pallu. Details: Length 6.2 mts, width - 46 inches Fabric: Semi Bangalore silk Blouse Piece: Yes( contrast blouse piece - same color as the pallu ) Shipping: We ship domestic orders within 3-5 business days from the date of order & International orders within 5-8 business days from the date of order Wash Care : Dry Clean only Medium Iron Disclaimer: Color may vary slightly from the image due to the screen brightness",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC03826.jpg,3199.00,1200.00,0,draft,SAREES,9-2
HDR-VINT-SBS-RED-589,HDR,HDR,VINT,SBS,RED,589.0,SUMAN ( ಸುಮನ್),A stunning red semi Bangalore silk saree with an orange temple border and a gold zari border. The saree has a bottle green striped zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC03821.jpg,3199.00,1200.00,0,draft,SAREES,7-2
HDR-VINT-SBS-ORG-588,HDR,HDR,VINT,SBS,ORG,588.0,KAMALIKA ( ಕಮಲಿಕಾ ),"A stunning orange semi Bangalore silk saree with a reddish pink border and a double rudraksham gold zari border. The saree has a reddish pink striped zari pallu. Details: Length 6.2 mts, width - 46 inches Fabric: Semi Bangalore silk Blouse Piece: Yes( reddish pink contrast blouse piece - same color as the pallu ) Shipping: We ship domestic orders within 3-5 business days from the date of order & International orders within 5-8 business days from the date of order Wash Care : Dry Clean only Medium Iron Disclaimer: Color may vary slightly from the image due to the screen brightness",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC03806.jpg,3499.00,1200.00,0,draft,SAREES,6-2
HDR-VINT-SBS-PNK-587,HDR,HDR,VINT,SBS,PNK,587.0,SIRISHA ( శిరీష ),A stunning pink semi Bangalore silk saree with an orange temple border and a gold zari border. The saree has a orange striped zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC03781.jpg,3199.00,1200.00,0,draft,SAREES,5-4
HDR-VINT-SBS-XX-586,HDR,HDR,VINT,SBS,XX,586.0,ANU ( అను ),"A lovely light pinkish-beige semi Bangalore silk saree with a chequered pink and green border and a temple border. The saree has a reddish pink striped pallu. Details: Length 6.2 mts, width - 46 inches Fabric: Semi Bangalore silk Blouse Piece: Yes(reddish pink contrast blouse piece - same color as the pallu ) Shipping: We ship domestic orders within 3-5 business days from the date of order & International orders within 5-8 business days from the date of order Wash Care : Dry Clean only Medium Iron Disclaimer: Color may vary slightly from the image due to the screen brightness",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC03773.jpg,3199.00,1200.00,0,draft,SAREES,4-4
HDR-VINT-SBS-GRY-585,HDR,HDR,VINT,SBS,GRY,585.0,APARAJITHA ( ಅಪರಾಜಿತ ),"A stunning grey semi Bangalore silk saree with a gold zari border. The saree has a pink striped zari pallu. Details: Length 6.2 mts, width - 46 inches Fabric: Semi Bangalore silk Blouse Piece: Yes( pink contrast blouse piece - same color as the pallu ) Shipping: We ship domestic orders within 3-5 business days from the date of order & International orders within 5-8 business days from the date of order Wash Care : Dry Clean only Medium Iron Disclaimer: Color may vary slightly from the image due to the screen brightness",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC03763.jpg,3499.00,1200.00,0,draft,SAREES,3-4
HDR-VINT-SBS-ORG-584,HDR,HDR,VINT,SBS,ORG,584.0,KETAKI ( ಕೇತಕಿ ),"A stunning orange semi Bangalore silk saree with a reddish pink border and a double rudraksham gold zari border. The saree has a reddish striped zari pallu. Details: Length 6.2 mts, width - 46 inches Fabric: Semi Bangalore silk Blouse Piece: Yes( contrast blouse piece - same color as the pallu ) Shipping: We ship domestic orders within 3-5 business days from the date of order & International orders within 5-8 business days from the date of order Wash Care : Dry Clean only Medium Iron Disclaimer: Color may vary slightly from the image due to the screen brightness",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC03743.jpg,3499.00,1200.00,0,draft,SAREES,2-4
HDR-VINT-SBS-PUR-583,HDR,HDR,VINT,SBS,PUR,583.0,MALATHI ( मालती ),"A stunning purple semi Bangalore silk saree with a chequered bottle green and orange border, with a temple border. The saree has a bottle green striped zari pallu. Details: Length 6.2 mts, width - 46 inches Fabric: Semi Bangalore silk Blouse Piece: Yes( green contrast blouse piece - same color as the pallu ) Shipping: We ship domestic orders within 3-5 business days from the date of order & International orders within 5-8 business days from the date of order Wash Care : Dry Clean only Medium Iron Disclaimer: Color may vary slightly from the image due to the screen brightness",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240306-DSC03732.jpg,3199.00,1200.00,0,draft,SAREES,1-4
KS-VINT-XX-XX-582,KS,KS,VINT,XX,XX,582.0,URVI (ഉർവി ),"A gorgeous grape coloured chequered cotton saree with a small gold zari border double rudraksham border. The pallu has simple gold zari lines on it. Details: Length 6.2 mts, width - 47 inches Fabric: Cotton Blouse Piece: Yes ( Running blouse piece - same colour as the saree ) Shipping: We ship domestic orders within 3-5 business days from the date of order & International orders within 5-8 business days from the date of order Wash Care: Hand wash in cold water Medium Iron Disclaimer: Color may vary slightly from the image due to the screen brightness",https://cdn.shopify.com/s/files/1/0444/9717/4695/files/DSC03617.jpg,1899.00,600.00,0,draft,SAREES,41-2
KS-VINT-COT-MRN-581,KS,KS,VINT,COT,MRN,581.0,RACHANA (രചന),An exclusive saree designed by Nerige Story - A stunning maroon chequered cotton saree with a contrasting green pallu. The saree has a small gold zari double rudraksham border. The pallu has simple gold zari lines on it.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240226-DSC03589.jpg,1899.00,600.00,3,active,SAREES,39-2
HDR-VINT-SBS-YLW-580,HDR,HDR,VINT,SBS,YLW,580.0,KOMALA (ಕೋಮಲ),A stunning sunshine yellow semi Bangalore silk saree with a red border and a double rudraksham gold zari border. The saree has a red striped zari pallu.,https://cdn.shopify.com/s/files/1/0444/9717/4695/files/20240226-DSC03541.jpg,3499.00,1200.00,5,active,SAREES,35-2
